Rank,Year,Movie,WorldwideBox Office,DomesticBox Office,InternationalBox Office
60,2002,The Lord of the Rings: The Two Towers,"$919,148,764","$342,548,984","$576,599,780"
61,2007,Spider-Man 3,"$894,860,230","$336,530,303","$558,329,927"
62,2018,Bohemian Rhapsody,"$891,472,999","$216,303,339","$675,169,660"
63,2005,Harry Potter and the Goblet of Fire,"$891,320,084","$290,201,752","$601,118,332"
64,2001,The Lord of the Rings: The Fellowship…,"$891,216,824","$315,544,750","$575,672,074"
65,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705","$690,113,112"
66,2016,The Secret Life of Pets,"$885,302,500","$368,384,330","$516,918,170"
67,2017,Spider-Man: Homecoming,"$880,166,350","$334,201,140","$545,965,210"
68,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294"
69,2015,Spectre,"$879,500,760","$200,074,175","$679,426,585"
70,2002,Harry Potter and the Chamber of Secrets,"$876,508,805","$262,233,381","$614,275,424"
71,2016,Batman v Superman: Dawn of Justice,"$872,395,091","$330,360,194","$542,034,897"
72,2017,Guardians of the Galaxy Vol 2,"$869,113,101","$389,813,101","$479,300,000"
73,2013,The Hunger Games: Catching Fire,"$864,868,047","$424,668,047","$440,200,000"
74,2015,Inside Out,"$855,038,387","$356,461,711","$498,576,676"
75,2018,Venom,"$853,530,899","$213,511,408","$640,019,491"
76,2017,Thor: Ragnarok,"$850,482,778","$315,058,289","$535,424,489"
77,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877","$380,270,577","$468,728,300"
78,2021,"Ni Hao, Li Huan Ying","$841,716,512",,"$841,716,512"
79,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
80,2017,Zhan Lang 2,"$835,474,171","$2,721,100","$832,753,071"
81,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000"
82,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000"
83,2017,Wonder Woman,"$818,058,221","$412,563,408","$405,494,813"
84,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623"
85,2016,Fantastic Beasts and Where to Find Them,"$811,724,385","$234,037,575","$577,686,810"
86,2007,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992"
87,2019,Jumanji: The Next Level,"$800,128,637","$316,831,246","$483,297,391"
88,2017,Coco,"$798,237,597","$210,460,015","$587,777,582"
89,2017,Pirates of the Caribbean: Dead Men Te…,"$794,861,794","$172,558,876","$622,302,918"
90,2004,Spider-Man 2,"$794,697,557","$373,524,485","$421,173,072"
91,1982,E.T. the Extra-Terrestrial,"$792,962,972","$435,110,554","$357,852,418"
92,2004,Harry Potter and the Prisoner of Azkaban,"$789,961,033","$249,757,726","$540,203,307"
93,2013,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594"
94,2018,Mission: ImpossibleâFallout,"$787,176,729","$220,159,104","$567,017,625"
95,2008,Indiana Jones and the Kingdom of the …,"$786,635,413","$317,101,119","$469,534,294"
96,2018,Deadpool 2,"$786,362,370","$324,591,735","$461,770,635"
97,2016,Deadpool,"$784,157,111","$363,070,709","$421,086,402"
98,1977,Star Wars Ep. IV: A New Hope,"$775,398,007","$460,998,007","$314,400,000"
99,2014,Guardians of the Galaxy,"$770,882,395","$333,714,112","$437,168,283"
100,2006,The Da Vinci Code,"$767,820,459","$217,536,138","$550,284,321"
102,2019,Fast & Furious Presents: Hobbs & Shaw,"$760,381,706","$173,956,935","$586,424,771"
103,2014,Maleficent,"$758,536,735","$241,407,328","$517,129,407"
104,2012,The Amazing Spider-Man,"$757,890,267","$262,030,663","$495,859,604"
105,2009,2012,"$757,677,748","$166,112,167","$591,565,581"
106,2010,Shrek Forever After,"$756,244,673","$238,736,787","$517,507,886"
107,2014,X-Men: Days of Future Past,"$747,862,775","$233,921,534","$513,941,241"
108,2012,Madagascar 3: Europe's Most Wanted,"$746,921,271","$216,391,482","$530,529,789"
109,2016,Suicide Squad,"$746,846,894","$325,100,054","$421,746,840"
110,2013,Monsters University,"$743,455,810","$268,488,329","$474,967,481"
111,2019,Ne Zha Zhi Mo Tong Jiang Shi,"$742,711,251","$3,695,533","$739,015,718"
112,2003,The Matrix Reloaded,"$738,576,929","$281,553,689","$457,023,240"
113,2009,Up,"$731,463,377","$293,004,164","$438,459,213"
114,2010,Inception,"$728,582,465","$292,576,195","$436,006,270"
115,2019,Liu Lang Di Qiu,"$727,846,450","$5,875,487","$721,970,963"
116,2005,"The Chronicles of Narnia: The Lion, t…","$720,539,572","$291,710,957","$428,828,615"
117,2014,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931"
118,2014,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977"
119,2014,The Amazing Spider-Man 2,"$708,996,336","$202,853,933","$506,142,403"
120,2007,Transformers,"$708,272,592","$319,246,193","$389,026,399"
121,2010,The Twilight Saga: Eclipse,"$706,102,828","$300,531,751","$405,571,077"
122,2017,It,"$701,083,042","$328,828,874","$372,254,168"
123,2021,Tang Ren Jie Tan An 3,"$698,994,069",,"$698,994,069"
124,2011,Mission: ImpossibleâGhost Protocol,"$694,713,230","$209,397,903","$485,315,327"
125,2013,Gravity,"$689,742,192","$274,092,705","$415,649,487"
126,2011,"The Twilight Saga: Breaking Dawn, Part 1","$689,420,051","$281,287,133","$408,132,918"
127,2015,Mission: ImpossibleâRogue Nation,"$688,858,992","$195,042,377","$493,816,615"
128,2009,The Twilight Saga: New Moon,"$687,557,727","$296,623,634","$390,934,093"
129,1994,Forrest Gump,"$679,838,260","$330,151,138","$349,687,122"
130,2012,The Hunger Games,"$677,923,379","$408,010,692","$269,912,687"
131,2016,Doctor Strange,"$676,354,481","$232,641,920","$443,712,561"
132,1999,The Sixth Sense,"$672,806,292","$293,506,292","$379,300,000"
133,2013,Man of Steel,"$667,999,518","$291,045,518","$376,954,000"
134,2011,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484"
135,2021,F9: The Fast Saga,"$662,412,771","$171,456,615","$490,956,156"
136,2002,Star Wars Ep. II: Attack of the Clones,"$656,695,615","$310,676,740","$346,018,875"
137,2017,Justice League,"$655,945,209","$229,024,295","$426,920,914"
138,2015,The Martian,"$655,111,538","$228,433,663","$426,677,875"
139,2003,Pirates of the Caribbean: The Curse o…,"$654,310,819","$305,410,819","$348,900,000"
140,2012,Men in Black 3,"$654,213,485","$179,020,854","$475,192,631"
141,2014,Interstellar,"$651,994,868","$188,017,894","$463,976,974"
142,2006,Ice Age: The Meltdown,"$651,899,282","$195,330,621","$456,568,661"
143,2018,Fantastic Beasts: The Crimes of Grind…,"$651,280,475","$159,555,901","$491,724,574"
144,2014,Big Hero 6,"$649,657,407","$222,527,828","$427,129,579"
145,2015,The Hunger Games: Mockingjay - Part 2,"$648,986,787","$281,723,902","$367,262,885"
146,2013,Thor: The Dark World,"$644,602,516","$206,362,140","$438,240,376"
147,2016,Moana,"$635,245,959","$248,757,044","$386,488,915"
148,2016,Sing,"$632,483,611","$270,329,045","$362,154,566"
149,2008,Kung Fu Panda,"$631,910,531","$215,434,591","$416,475,940"
150,2004,The Incredibles,"$631,441,092","$261,441,092","$370,000,000"
151,2011,Fast Five,"$630,163,454","$210,031,325","$420,132,129"
152,2007,Ratatouille,"$626,549,695","$206,445,654","$420,104,041"
153,2008,Hancock,"$624,234,272","$227,946,274","$396,287,998"
154,2018,Ant-Man and the Wasp,"$623,144,660","$216,648,740","$406,495,920"
155,2004,The Passion of the Christ,"$622,313,635","$370,782,930","$251,530,705"
156,2010,Iron Man 2,"$621,156,389","$312,433,331","$308,723,058"
157,2012,Life of Pi,"$619,310,368","$124,987,022","$494,323,346"
158,1997,The Lost World: Jurassic Park,"$618,638,999","$229,086,679","$389,552,320"
159,2014,How to Train Your Dragon 2,"$614,586,270","$177,002,924","$437,583,346"
160,2017,Logan,"$614,202,315","$226,277,068","$387,925,247"
161,2005,War of the Worlds,"$606,836,535","$234,280,354","$372,556,181"
162,2017,Transformers: The Last Knight,"$602,893,340","$130,168,683","$472,724,657"
163,2008,Mamma Mia!,"$602,891,655","$144,130,063","$458,761,592"
164,2008,Madagascar: Escape 2 Africa,"$599,680,774","$180,174,880","$419,505,894"
165,2006,Casino Royale,"$594,420,283","$167,365,000","$427,055,283"
166,2008,Quantum of Solace,"$591,692,078","$169,368,427","$422,323,651"
167,1997,Men in Black,"$587,790,539","$250,690,539","$337,100,000"
168,2011,The Hangover Part II,"$586,764,305","$254,464,305","$332,300,000"
169,2010,Tangled,"$585,574,317","$200,821,936","$384,752,381"
170,2007,I am Legend,"$585,532,684","$256,393,010","$329,139,674"
171,2008,Iron Man,"$585,171,547","$318,604,126","$266,567,421"
172,2006,Night at the Museum,"$579,446,407","$250,863,268","$328,583,139"
173,2018,Ready Player One,"$579,055,653","$137,690,172","$441,365,481"
174,2013,The Croods,"$573,068,425","$187,168,425","$385,900,000"
175,2015,Fifty Shades of Grey,"$570,794,950","$166,167,230","$404,627,720"
176,2011,The Smurfs,"$563,749,323","$142,614,158","$421,135,165"
177,2017,Kong: Skull Island,"$561,072,059","$168,052,812","$393,019,247"
178,2001,"Monsters, Inc.","$560,483,719","$290,149,425","$270,334,294"
179,2011,Cars 2,"$560,155,383","$191,450,875","$368,704,508"
180,2005,Madagascar,"$556,559,566","$193,595,521","$362,964,045"
181,2012,Ted,"$556,016,627","$218,665,740","$337,350,887"
182,2004,The Day After Tomorrow,"$555,840,117","$186,740,799","$369,099,318"
183,2011,Puss in Boots,"$554,987,477","$149,260,504","$405,726,973"
184,2012,Brave,"$554,606,532","$237,282,182","$317,324,350"
185,1998,Armageddon,"$554,600,000","$201,578,182","$353,021,818"
186,2005,King Kong,"$550,517,357","$218,080,025","$332,437,332"
187,2000,Mission: Impossible 2,"$549,588,516","$215,409,889","$334,178,627"
188,1980,Star Wars Ep. V: The Empire Strikes Back,"$549,001,242","$291,738,960","$257,262,282"
189,2014,American Sniper,"$547,326,372","$350,126,372","$197,200,000"
190,2018,Tang Ren Jie Tan An 2,"$544,068,574","$1,983,984","$542,084,590"
191,2010,Despicable Me,"$543,464,573","$251,513,985","$291,950,588"
192,2016,X-Men: Apocalypse,"$542,537,546","$155,442,489","$387,095,057"
193,2011,Sherlock Holmes: A Game of Shadows,"$535,663,443","$186,848,418","$348,815,025"
194,2015,Cinderella,"$534,551,353","$201,151,353","$333,400,000"
195,2018,Hong Hai Xing Dong,"$533,601,535","$1,543,547","$532,057,988"
196,2015,The Revenant,"$532,938,302","$183,637,894","$349,300,408"
197,2008,WALL-E,"$532,508,025","$223,808,164","$308,699,861"
198,2013,World War Z,"$531,861,650","$202,706,711","$329,154,939"
199,2018,Ralph Breaks The Internet,"$529,290,830","$201,091,711","$328,199,119"
200,2014,Godzilla,"$529,076,069","$200,676,069","$328,400,000"
202,2018,The Meg,"$527,370,715","$145,443,742","$381,926,973"
203,2018,Hotel Transylvania 3: Summer Vacation,"$527,103,195","$167,500,092","$359,603,103"
204,2007,The Simpsons Movie,"$527,071,022","$183,135,014","$343,936,008"
205,2016,Mei Ren Yu,"$525,018,479","$3,229,457","$521,789,022"
206,2019,How to Train Your Dragon: The Hidden …,"$522,746,363","$160,799,505","$361,946,858"
207,2016,Kung Fu Panda 3,"$521,170,825","$143,528,619","$377,642,206"
208,2017,Dunkirk,"$519,452,014","$190,068,280","$329,383,734"
209,2015,Ant-Man,"$518,858,449","$180,202,163","$338,656,286"
210,1990,Ghost,"$517,600,000","$217,631,306","$299,968,694"
211,2004,Meet the Fockers,"$516,567,575","$279,167,575","$237,400,000"
212,1991,Terminator 2: Judgment Day,"$515,390,883","$203,464,105","$311,926,778"
213,2018,Dr. Seussâ The Grinch,"$514,602,427","$270,834,950","$243,767,477"
214,1999,Toy Story 2,"$511,358,276","$245,852,179","$265,506,097"
215,1992,Aladdin,"$504,050,219","$217,350,219","$286,700,000"
216,2009,Sherlock Holmes,"$498,438,212","$209,028,679","$289,409,533"
217,2012,Wreck-It Ralph,"$496,511,521","$189,412,677","$307,098,844"
218,1996,Twister,"$495,700,000","$241,688,385","$254,011,615"
219,2010,How to Train Your Dragon,"$494,870,992","$217,581,232","$277,289,760"
220,2010,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000"
221,2014,Rio 2,"$492,846,291","$131,538,435","$361,307,856"
222,2001,Shrek,"$491,812,794","$267,655,011","$224,157,783"
223,2009,Angels & Demons,"$490,875,846","$133,375,846","$357,500,000"
224,2013,Oz the Great and Powerful,"$490,359,051","$234,770,996","$255,588,055"
225,2017,War for the Planet of the Apes,"$489,592,267","$146,880,162","$342,712,105"
226,2019,Maleficent: Mistress of Evil,"$489,346,495","$113,929,605","$375,416,890"
227,2011,Rio,"$487,519,809","$143,619,809","$343,900,000"
228,2005,Mr. and Mrs. Smith,"$486,124,090","$186,336,279","$299,787,811"
229,1998,Saving Private Ryan,"$485,035,085","$216,335,085","$268,700,000"
230,2014,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754","$293,800,000"
231,2012,Les Intouchables,"$484,630,908","$13,182,281","$471,448,627"
232,2003,Bruce Almighty,"$484,468,608","$242,704,995","$241,763,613"
233,2004,Troy,"$483,152,040","$133,298,577","$349,853,463"
234,2020,Kimetsu no Yaiba: Mugen Ressha-Hen,"$477,926,595","$47,700,000","$430,226,595"
235,1990,Home Alone,"$476,684,675","$285,761,243","$190,923,432"
236,2005,Charlie and the Chocolate Factory,"$475,825,484","$206,459,076","$269,366,408"
237,1983,Star Wars Ep. VI: Return of the Jedi,"$475,106,177","$309,205,079","$165,901,098"
238,1989,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806","$277,000,000"
239,2020,Ba bai,"$472,643,830",,"$472,643,830"
240,2011,Rise of the Planet of the Apes,"$470,986,200","$176,760,185","$294,226,015"
241,1975,Jaws,"$470,700,000","$260,000,000","$210,700,000"
242,2019,It: Chapter Two,"$469,566,806","$211,593,228","$257,973,578"
243,2015,Hotel Transylvania 2,"$469,500,298","$169,700,110","$299,800,188"
244,2014,The Lego Movie,"$468,084,718","$257,784,718","$210,300,000"
245,2021,Godzilla vs. Kong,"$467,863,133","$100,563,133","$367,300,000"
246,2013,Star Trek Into Darkness,"$467,381,584","$228,778,661","$238,602,923"
247,2009,The Hangover,"$465,487,583","$277,322,503","$188,165,080"
248,2019,Wo he wo de zu guo,"$465,418,019","$2,323,409","$463,094,610"
249,1999,The Matrix,"$465,377,200","$173,396,389","$291,980,811"
250,2018,Bumblebee,"$465,195,589","$127,195,589","$338,000,000"
251,2006,Cars,"$461,630,558","$244,082,982","$217,547,576"
252,2006,X-Men: The Last Stand,"$459,260,946","$234,362,462","$224,898,484"
253,1996,Mission: Impossible,"$457,697,994","$180,981,886","$276,716,108"
254,2000,Gladiator,"$457,552,323","$187,683,805","$269,868,518"
255,2014,Lucy,"$457,507,776","$126,573,960","$330,933,816"
256,2007,National Treasure: Book of Secrets,"$457,325,804","$219,961,501","$237,364,303"
257,2003,The Last Samurai,"$456,810,575","$111,110,575","$345,700,000"
258,2015,San Andreas,"$456,258,539","$155,190,832","$301,067,707"
259,2007,300,"$454,161,935","$210,614,939","$243,546,996"
260,2018,Wo Bi Shi Yao Shen,"$451,183,392","$6,752","$451,176,640"
261,2001,Ocean's Eleven,"$450,728,529","$183,417,150","$267,311,379"
262,2012,Django Unchained,"$449,841,566","$162,805,434","$287,036,132"
263,2011,Thor,"$449,326,618","$181,030,624","$268,295,994"
264,2001,Pearl Harbor,"$449,239,853","$198,539,855","$250,699,998"
265,1999,Tarzan,"$448,191,819","$171,091,819","$277,100,000"
266,2019,The Secret Life of Pets 2,"$446,273,015","$158,874,395","$287,398,620"
267,2016,La La Land,"$445,607,848","$151,101,803","$294,506,045"
268,2007,The Bourne Ultimatum,"$444,043,396","$227,471,070","$216,572,326"
269,2009,Alvin and the Chipmunks: The Squeakquel,"$443,483,213","$219,614,612","$223,868,601"
270,2002,Men in Black 2,"$441,767,803","$190,418,803","$251,349,000"
271,1993,Mrs. Doubtfire,"$441,286,003","$219,195,051","$222,090,952"
272,2016,Warcraft,"$438,899,824","$47,365,290","$391,534,534"
273,1991,Beauty and the Beast,"$438,656,843","$206,333,165","$232,323,678"
274,2012,Les MisÃ©rables,"$438,420,442","$148,809,770","$289,610,672"
275,2001,The Mummy Returns,"$435,040,395","$202,007,640","$233,032,755"
276,2017,The Greatest Showman,"$434,473,253","$174,340,174","$260,133,079"
277,2020,Wo He Wo De Jia Xiang,"$433,241,288",,"$433,241,288"
278,2003,Terminator 3: Rise of the Machines,"$433,058,296","$150,358,296","$282,700,000"
279,1990,Pretty Woman,"$432,566,361","$178,406,268","$254,160,093"
280,2015,Terminator: Genisys,"$432,150,894","$89,760,956","$342,389,938"
281,2019,PokÃ©mon: Detective Pikachu,"$431,947,558","$144,105,346","$287,842,212"
282,2002,Die Another Day,"$431,942,139","$160,942,139","$271,000,000"
283,2018,A Star is Born,"$431,870,523","$215,288,866","$216,581,657"
284,2010,The Kingâs Speech,"$430,821,168","$138,797,449","$292,023,719"
285,1973,The Exorcist,"$428,214,478","$230,347,346","$197,867,132"
286,2018,Rampage,"$427,947,217","$101,028,233","$326,918,984"
287,2003,The Matrix Revolutions,"$427,300,260","$139,270,910","$288,029,350"
288,2000,Cast Away,"$427,230,516","$233,632,142","$193,598,374"
289,2020,Bad Boys For Life,"$424,536,881","$204,417,855","$220,119,026"
290,1990,Dances with Wolves,"$424,208,805","$184,208,842","$239,999,963"
291,2010,The Chronicles of Narnia: The Voyage …,"$418,186,950","$104,386,950","$313,800,000"
292,2019,Zhongguo jizhang,"$417,850,370","$706,572","$417,143,798"
293,2008,The Chronicles of Narnia: Prince Caspian,"$417,341,288","$141,621,490","$275,719,798"
294,2013,The Wolverine,"$416,456,852","$132,556,852","$283,900,000"
295,1999,The Mummy,"$416,385,488","$155,385,488","$261,000,000"
296,2016,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396"
297,2008,Sex and the City,"$415,247,258","$152,647,258","$262,600,000"
298,1988,Rain Man,"$412,800,000","$172,825,435","$239,974,565"
299,1989,Batman,"$411,348,924","$251,188,924","$160,160,000"
300,2013,Pacific Rim,"$411,002,906","$101,802,906","$309,200,000"
302,2017,The Mummy,"$409,953,905","$80,101,125","$329,852,780"
303,2017,Kingsman: The Golden Circle,"$408,803,696","$100,234,838","$308,568,858"
304,2002,Signs,"$408,250,578","$227,969,295","$180,281,283"
305,2003,X-Men 2,"$406,348,630","$214,949,694","$191,398,936"
306,2008,The Mummy: Tomb of the Dragon Emperor,"$405,760,225","$102,491,776","$303,268,449"
307,2015,Kingsman: The Secret Service,"$404,561,724","$128,261,724","$276,300,000"
308,2012,Prometheus,"$402,448,265","$126,477,084","$275,971,181"
309,2008,Twilight,"$402,280,159","$192,769,854","$209,510,305"
310,2009,Night at the Museum: Battle of the Sm…,"$402,231,063","$177,243,721","$224,987,342"
311,2016,Ice Age: Collision Course,"$402,156,682","$64,063,008","$338,093,674"
312,2019,Alita: Battle Angel,"$401,900,040","$85,838,210","$316,061,830"
313,2012,Snow White and the Huntsman,"$401,021,746","$155,136,755","$245,884,991"
314,2010,Tron: Legacy,"$399,866,199","$172,062,763","$227,803,436"
315,2006,Mission: Impossible III,"$399,387,745","$133,501,348","$265,886,397"
316,2018,Mamma Mia: Here We Go Again!,"$394,201,159","$120,634,935","$273,566,224"
317,2018,Solo: A Star Wars Story,"$393,151,347","$213,767,512","$179,383,835"
318,2006,Superman Returns,"$391,081,192","$200,120,000","$190,961,192"
319,1939,Gone with the Wind,"$390,525,192","$198,680,470","$191,844,722"
320,1991,Robin Hood: Prince of Thieves,"$390,500,000","$165,493,908","$225,006,092"
321,2013,The Wolf of Wall Street,"$389,918,903","$116,949,183","$272,969,720"
322,1978,Grease,"$387,483,897","$181,813,770","$205,670,127"
323,2009,Star Trek,"$386,839,614","$257,730,019","$129,109,595"
324,2002,Ice Age,"$386,116,343","$176,387,405","$209,728,938"
325,2015,Home,"$385,997,896","$177,397,510","$208,600,386"
326,1985,Back to the Future,"$385,510,205","$212,259,762","$173,250,443"
327,2006,Happy Feet,"$385,000,317","$198,000,317","$187,000,000"
328,2016,Independence Day: Resurgence,"$384,169,424","$103,144,286","$281,025,138"
329,2008,Slumdog Millionaire,"$383,825,427","$141,330,703","$242,494,724"
330,2001,Sen to Chihiro no Kamikakushi,"$383,686,091","$10,049,886","$373,636,205"
331,2017,Cars 3,"$383,541,369","$152,901,115","$230,640,254"
332,2019,Godzilla: King of the Monsters,"$383,299,915","$110,500,138","$272,799,777"
333,2007,Live Free or Die Hard,"$382,288,147","$134,529,403","$247,758,744"
334,2009,Monsters vs. Aliens,"$381,687,380","$198,351,526","$183,335,854"
335,2017,Fifty Shades Darker,"$381,367,046","$114,434,010","$266,933,036"
336,2012,Hotel Transylvania,"$378,659,142","$148,313,048","$230,346,094"
337,2012,Taken 2,"$377,807,404","$139,854,287","$237,953,117"
338,2019,Once Upon a Timeâ¦in Hollywood,"$377,562,039","$142,502,728","$235,059,311"
339,1998,Godzilla,"$376,000,000","$136,314,294","$239,685,706"
340,2013,G.I. Joe: Retaliation,"$375,740,705","$122,523,060","$253,217,645"
341,2018,Spider-Man: Into The Spider-Verse 3D,"$375,654,619","$190,173,195","$185,481,424"
342,2002,My Big Fat Greek Wedding,"$374,890,034","$241,438,208","$133,451,826"
343,2009,X-Men Origins: Wolverine,"$374,825,760","$179,883,157","$194,942,603"
344,2000,What Women Want,"$374,105,123","$182,805,123","$191,300,000"
345,2011,The Adventures of Tintin,"$373,993,951","$77,591,831","$296,402,120"
346,2018,Fifty Shades Freed,"$371,985,018","$100,407,760","$271,577,258"
347,2004,Shark Tale,"$371,741,123","$161,412,000","$210,329,123"
348,2011,Captain America: The First Avenger,"$370,569,776","$176,654,505","$193,915,271"
349,1998,There's Something About Mary,"$369,884,651","$176,484,651","$193,400,000"
350,2015,Mad Max: Fury Road,"$367,457,874","$153,636,354","$213,821,520"
351,1981,Raiders of the Lost Ark,"$367,452,079","$225,686,079","$141,766,000"
352,2007,The Golden Compass,"$367,262,558","$70,107,728","$297,154,830"
353,2014,Gone Girl,"$367,160,781","$167,767,189","$199,393,592"
354,2014,Edge of Tomorrow,"$367,028,980","$100,206,256","$266,822,724"
355,2018,Xi Hong Shi Shou Fu,"$366,961,920",,"$366,961,920"
356,2014,Penguins of Madagascar,"$366,942,531","$83,350,911","$283,591,620"
357,2005,Hitch,"$366,784,257","$177,784,257","$189,000,000"
358,2019,1917,"$366,614,721","$159,227,644","$207,387,077"
359,1995,Die Hard: With a Vengeance,"$366,101,666","$100,012,499","$266,089,167"
360,2001,Jurassic Park III,"$365,900,000","$181,166,115","$184,733,885"
361,2009,Terminator Salvation,"$365,491,792","$125,322,469","$240,169,323"
