episode,episode_order,speaker,utterance
57264,26,"NEAL CONAN, host","John, thanks very much for the call."
57264,27,JOHN (Caller),Thank you.
57264,28,"NEAL CONAN, host","Bye-bye. There is also, as we mentioned, the training. But one of the aspects of the race that seems to startle a lot of people is they're riding through these little towns in France, for the most part, and people are standing right by the roadsides. There's no barriers. They just reach out and touch them, and sometimes they do."
57264,29,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's right. One of the very cool things about the sport is it does give the public a chance to really go face to face with the riders on the roadway. Sometimes on those steep climbs, you'll see just walls of people almost blocking the road and then moving back at the last second to let the riders slip through. Given the access that the fans have - and there can be, you know, hundreds of thousands, close to a million people on some of these larger mountainsides - it is remarkable that there's not more interference from fans."
57264,30,"NEAL CONAN, host","Let's go next to Marshall(ph), Marshall with us from Holland, Michigan."
57264,31,MARSHALL (Caller),"Hello. The reason I watch the Tour de France is because this is the best time for a cyclist like myself, an amateur racer, to enjoy top-notch live coverage. Otherwise, it's all by magazines or over the Internet."
57264,32,"NEAL CONAN, host","The magazines are, of course, brilliant."
57264,33,MARSHALL (Caller),Pardon?
57264,34,"NEAL CONAN, host",The magazines are brilliant.
57264,35,MARSHALL (Caller),"Magazines are brilliant, and I do have a subscription to Bicycling Magazine."
57264,36,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Oh, okay."
57264,37,MARSHALL (Caller),"But it's the best because you have every type of racing that you can enjoy. You have the mountains. You have sprinting. And you have time trials. So no matter what kind of cyclist you are, you get to watch all the world's greatest cyclists in one, you know, one three-week race. And it's the best. It's - I devour it every night and find excuses to be at home during the day to watch it live."
57264,38,"NEAL CONAN, host","One of interesting things, Marshall, that I find is the races within the races. So you have races that are sprints and people competing for the sprint championship, and then races within the mountains and people competing to be the King of the Mountains."
57264,39,MARSHALL (Caller),"Those are great because it actually allows you to pay attention on individual stages more so than the overall. While the overall is the top prize, the King of the Mountains and the sprint's jersey, even the young rider jersey, which is the white jersey, are prized. And among sprinters, which is my favorite competition, that's awesome because the speed that they hit, 45, 47, almost 50 kilometers an hour for huge amount of wattage, it's just amazing."
57264,40,"NEAL CONAN, host","Hmm. Marshall, thanks very much for the phone call. Appreciate it."
57264,41,MARSHALL (Caller),You bet.
57264,42,"NEAL CONAN, host","The jerseys, he mentioned, of course, the yellow jersey is the overall leader, but the other categories have all jerseys of their own, Loren Mooney."
57264,43,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah, that's right. The yellow jersey, the overall leader, and that is the rider with the lowest cumulative time at the end of the three weeks. The green sprinter's jersey, determined by points, often who has the best sprint at the end. But there are also some intermediate sprints during some stages. The polka dot jersey is for the best mountain climber. And the white jersey is for the best rider 25 years of age or under."
57264,44,"NEAL CONAN, host","Let's go next to Rick(ph), Rick with us from Denver."
57264,45,RICK (Caller),Hello. How are you today?
57264,46,"NEAL CONAN, host","Good, thanks."
57264,47,RICK (Caller),"Great. Hey, I just - I love hearing a show about the Tour de France and I truly love watching it. And as a former cyclist, I spent four years after high school, before I started college, racing bikes. But I would propose that there are two reasons why people love watching the tour, and I'd love to hear your guest's comments on these. Number one is the cinematography is incredible. I mean, you really - you don't just watch a bike race when you watch the tour each morning. You get a chance to see some of the most beautiful scenery. And just the way they present it on TV, it's much more than just a sporting event."
57264,48,RICK (Caller),"And the second reason I would propose people love watching the Tour de France is Mr. Phil Liggett. It's - the British gentleman who speaks to us each morning, not just about the race and the current riders whom he seems to know each one of them personally, but about the history of the race, the history of France, the history of cycling, the history of whatever you like. Phil just seems to have so many stories that fill what is a very long day."
57264,49,RICK (Caller),"I mean, these races on television are quite long. And yet, you never get bored because each time he starts speaking he's got another little tidbit to share with you. So..."
57264,50,"NEAL CONAN, host",Well...
57264,51,RICK (Caller),...I find that the cinematography and Phil just leave me gripped to the TV.
57264,52,"NEAL CONAN, host","I thought this call originally from the French Ministry of Tourism. But it turns out, of course, he was publicity department at Versus, so..."
57264,53,RICK (Caller),"Well, I would love to know what your guest thinks of my proposal that those are two reasons why people continue to watch the tour despite many of the troubles that the athletes seem to create for themselves."
57264,54,"NEAL CONAN, host",Loren?
57264,55,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah. I think that's right, particularly with the scenery of France. It is a true tour of the country. The route changes each year. Some years, it goes in a counterclockwise circle around France. This year going clockwise, where it's hitting the Alps mountains before the Pyrenees. And you're seeing tiny villages. You're seeing just breathtaking mountainscapes. You go into the Pyrenees, you see the Basque flags and the fans wearing orange, cheering."
57264,56,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","And also, the cinematography that they're using at this point is outstanding. You're seeing not only the wide shots from helicopters, but these cameramen on motorbikes within the race are the true daredevils of the race. They get some amazing footage."
57264,57,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","You're also seeing in some of the sprint stages now, they have a camera that goes alongside the racers at upwards of 50 miles an hour, sometimes at the very end to see the very last rocket ship efforts of the sprinters. So really covering it from all angles, again, getting up close, getting into the riders' faces at the moment of the action is pretty remarkable stuff."
57264,58,"NEAL CONAN, host","Rick, thanks very much for the call."
57264,59,RICK (Caller),Thank you.
57264,60,"NEAL CONAN, host","The current issue of Bicycling Magazine offers a 2010 Tour de France fans guide. Its editor-in-chief, Loren Mooney, is with us. You're listening to TALK OF THE NATION from NPR News."
57264,61,"NEAL CONAN, host","And here's some emails that we have. This from Matt(ph) in Liverpool, New York. Personally, couldn't name five riders, but I love to see the French countryside. And this is from Amon(ph) in Sunnyvale, California. As an Irishman I was inspired by the great Sean Kelly and Stephen Roche in the 1980s. Roche began as a paperboy racing his friends delivering newspapers in Dublin when he was a kid. He went on to win the Tour de France in a dramatic finish against Spaniard Pedro Delgado in 1987, the first and only Irishman ever to do so."
57264,62,"NEAL CONAN, host","I'm 35 years old and still racing for the Los Gatos Club here in California, Greg LeMond's old club. So that's, of course, the other great American rider before Lance Armstrong."
57264,63,"NEAL CONAN, host","And this is from Greg(ph) in Oklahoma City. It's a sporting event like no other. Unlike any other sport, it involves individual team -individual and team goals, none of which can be realized without the other. It has history, courage, teamwork and a host of unpredictable variables. I watch every day on the edge of my couch. Let's see if can go next to - this is Sterling(ph), Sterling with us from St. Helena in California."
57264,64,STERLING (Caller),How are you all today?
57264,65,"NEAL CONAN, host","Very well, thanks."
57264,66,STERLING (Caller),"Fantastic. Loren, love your magazine. You know, I think one of the things that's - that one of your callers mentioned, you know, in the dual proposal, you do get to see such an amazing part of the world and you could see it in great detail. But I think the thing that really draws me is the community that gets created every year when the tour is broadcast. The communities of cyclists and triathletes out, you know, all throughout the United States all gather together and, you know, discuss this, talk about this."
57264,67,STERLING (Caller),"I was in a bike shop yesterday in Napa Valley and getting my bike work done and a 71-year-old woman walked in and said, you know, I want to buy a bike. You know, I was watching the tour and I want to get out on my bike. And, you know, I happen to have a 74-year-old mother who's got a Trek carbon bike and, you know, she's all inspired. And I think that's the thing that's so compelling is the sense of community, you know, these 20-something days create, you know, in the U.S."
57264,68,STERLING (Caller),"And it's not - you don't see that. I mean, I think you'd see that in the World Cup with football but - soccer, but you don't see that in any other sports where people get together and they're really - it's participatory as well."
57264,69,"NEAL CONAN, host","Well, the sport, Loren Mooney, has a natural clubhouse, the bike shop."
57264,70,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","That's true. The bike shop is our clubhouse, sports bar, church, all in one for the cyclists. And I think you're absolutely right. You drew the World Cup analogy there. And I think that's a good one because cycling, much like soccer in the U.S., is rarely shown on television with, you know, with any - in any depth. And so, this is our time to celebrate much like you saw the rather large soccer community in the U.S. gathering in sports bars watching the World Cup."
57264,71,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","This is the time when the cyclists gather together, watch, stop by the bike shop afterward, get into friendly arguments. It's funny how many times just this year I have watched the Tour de France live on TV, then gone out for a bike ride and I see a lot of other cyclists leaving at the same time, knowing that they had just watched the stage as well and now are free for the rest of their day to go out and do their own bike ride."
57264,72,"NEAL CONAN, host","Sterling, thanks very much for the call. Appreciate it."
57264,73,STERLING (Caller),Yeah.
57264,74,"NEAL CONAN, host","Email from Sean(ph) in Cleveland. The Tour de France reminds me of what the human body can achieve with massive amounts of dedication. Lance is my hero. All of these riders are my hero. And this is from Robert(ph) in Columbus, Ohio. Because it inspires me to write and because, quote, ""you're not having fun until you're not having fun."" And I suppose that last part is because it drives you to do things you didn't think you could do."
57264,75,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","Yeah, absolutely. I think the tour is widely called the most difficult endurance event in the world. It's funny when you look at some of these racers, you look at them at the beginning of the Tour de France and at the end of the Tour de France, it's to me not unlike when you see a president about to finish his eighth year, end of the second term of office. And you look back at a photograph of the first inauguration and you realize just how much the president has aged in those eight years."
57264,76,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)","You look at a Tour de France rider first day and then on the podium in Paris, and they almost look like a different person. They're very gaunt. Their whole body composition has changed just from having been through the rigors of the event."
57264,77,"NEAL CONAN, host","Loren Mooney, thanks very much for your time today. We appreciate it."
57264,78,"Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)",Thank you.
57264,79,"NEAL CONAN, host",And good watching. Loren Mooney is editor-in-chief of Bicycling Magazine and joined us from our bureau in New York.
57264,80,"NEAL CONAN, host",I'm Neal Conan. This is TALK OF THE NATION from NPR News. Join us tomorrow.
58225,1,"NEAL CONAN, host",This is TALK OF THE NATION. Im Neal Conan in Washington.
58225,2,"NEAL CONAN, host","The U.S. Supreme Court handed down rulings in two important cases earlier today. First, in a seven-to-two decision, the high court agreed that the government can indefinitely hold convicts considered sexually dangerous, even after their prison terms are complete."
58225,3,"NEAL CONAN, host","In the second case, decided five to four, the court said it is cruel and unusual punishment to sentence minors to life without the possibility of parole if murder is not involved."
58225,4,"NEAL CONAN, host","Later in the program, a comic book also-ran sprints to the top of the movie box office charts. Glen Weldon joins us on ""Iron Man 2."" But first, the Supreme Court rulings."
58225,5,"NEAL CONAN, host","If either of these cases affects you, give us a call. Tell us how, 800-989-8255. Email us, talk@npr.org. You can also join the conversation via our website. Thats at npr.org. Click on TALK OF THE NATION."
58225,6,"NEAL CONAN, host","We begin with David Savage, who covers the court for the Los Angeles Times and the Chicago Tribune. He joins us today by phone from his office. David, always good to have you with us. Thanks for your time."
58225,7,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Hi, Neal."
58225,8,"NEAL CONAN, host",And let's take these one at a time. A solid majority ruled it's constitutional to hold a convict even after he completes his sentence.
58225,9,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Yes, and Neal, this case actually was not a dispute about what you might think it was about, which is: Is that fair?"
58225,10,"NEAL CONAN, host",Yeah.
58225,11,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","About 15 years ago, in a case from Kansas, the court upheld these after-the-fact punishments involving sexual criminals. They said that they were not retroactive, and it was not a violation of due process of law."
58225,12,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","So it's actually been clear for a while as a constitutional matter, as a matter of individual rights. The government could hold somebody after they served their term..."
58225,13,"NEAL CONAN, host",Because of what they might do.
58225,14,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","Correct. Last year, however, a federal appeals court struck down the federal law on the grounds that Congress didn't have the authority to pass such a law. There is no federal police power, they say, and that Congress only has the powers that are in the Constitution, the power to regulate interstate commerce."
58225,15,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","What the court said today, with Stephen Breyer writing a very broad opinion, was that Congress can pass laws that are necessary and proper to carry out its aims. And he wrote an opinion that said any law that's sort of rationally related to some aim that Congress has, it is constitutional."
58225,41,"Mr. DAVID SAVAGE (Supreme Court Reporter, Los Angeles Times, Chicago Tribune)","You said it better, Neal."
75004,1,"LIANE HANSEN, host","The Atlantic hurricane season officially ends today. In the United States, 2008 likely will be remembered as a moderately bad year for storms. But in Cuba, this season will go down as perhaps the worst season ever. NPR's Jon Hamilton has the story."
75004,2,JON HAMILTON,"Eight hurricanes formed in the North Atlantic and Caribbean this year. Three of them, all major storms, hit Cuba. Alexis Fernandez(ph) was in Baracoa, a city on the eastern tip of Cuba, when Hurricane Ike made landfall on September 7."
75004,3,Mr. ALEXIS FERNANDEZ (History Teacher),"(Through Translator) The waves were as high as top of the buildings, and some of those buildings were five stories high. This in turn started the destruction of homes, people's homes that were along the beach area. Homes that people had worked all their lives for were lost in a matter of minutes."
75004,4,JON HAMILTON,"Fernandez teaches history at the University in Baracoa. He says more than 6,000 homes were damaged and hundreds destroyed. Ike would go on to scour the entire length of Cuba before moving into the Gulf of Mexico. A couple of weeks earlier, Hurricane Gustav had plowed across the western part of the country. And in early November, Hurricane Paloma struck the central coast near Santa Cruz del Sur. Fernandez says it's been the worst year for hurricanes in his lifetime."
75004,5,Mr. ALEXIS FERNANDEZ (History Teacher),"(Through Translator) In the '60s, we suffered a lot from Hurricane Flora. There were great floods. There were hundreds of deaths. In this series of hurricanes, there's been a lot of economic damage. But in human life, it hasn't been as bad because the state has been able to control and help us evacuate, so that the damage in human lives is minimal."
75004,6,JON HAMILTON,"The storms did more than $10 billion of damage in Cuba and left tens of thousands homeless. But only a handful of people died. One reason is Cuba's highly organized evacuation system. Another reason is that Cuban meteorologists work closely with their U.S. counterparts to forecast and track storms. Cuba even allows U.S. hurricane hunter aircraft to fly into Cuban airspace. And then there's Cuba's chief hurricane forecaster, Jose Rubiera."
75004,7,_NO_SPEAKER,(Soundbite of hurricane forecaster Jose Rubiera on Cuban TV)
75004,8,JON HAMILTON,"That's Rubiera on Cuban television describing Ike. He's a fixture on Cuban TV anytime a storm is on the way, and viewers pay attention to his warnings. Caribbean nations with less expertise and infrastructure were badly hurt by hurricanes this season. In Haiti, hundreds of people died. In the U.S. this year, hurricanes struck Texas and Louisiana. Hurricane Ike regained much of its strength after passing over Cuba. Then it weakened to a category two storm before making landfall near Galveston, Texas. Even so, Ike killed more than 80 people in the U.S. and caused damage of more than $25 billion. Gerry Bell is the lead seasonal forecaster at the National Oceanic and Atmospheric Administration. He says there are several reasons Ike was so dangerous, even though its wind speeds weren't that high."
75004,9,"Dr. GERRY BELL (Meteorologist, National Oceanic and Atmospheric Administration)","The tremendous storm surge, the very long track over water where the hurricane could really, really pile up the water, also the speed of movement of the storm. If it's a slow moving hurricane, it's going to stay over any given area longer and obviously increase the potential for more damage."
75004,10,JON HAMILTON,"Hurricane Gustav strengthened to a category three storm in the Gulf of Mexico. Officials evacuated New Orleans, and residents feared another Katrina. But Gustav ultimately weakened to a category two storm and veered west of New Orleans. At the start of the hurricane season, Gerry Bell had predicted a busy year. And he was right."
75004,11,"Dr. GERRY BELL (Meteorologist, National Oceanic and Atmospheric Administration)","We had 16 named storms, eight hurricanes, and five major hurricanes. And that's certainly consistent with what the forecasts were for a lot of activity this season."
75004,12,JON HAMILTON,"Bell says it's too soon to say much about next year, but he adds that the Atlantic is in a period of high hurricane activity that's likely to continue for another decade or more. Jon Hamilton, NPR News."
74884,1,"SCOTT SIMON, host","Not a week goes by there isn't some story about endangered newspapers or layoffs in the broadcasting and entertainment industry. Now there's bad news from the world of publishing, where major houses have laid off staff, restructured management, limited the number of manuscripts they buy. Charlotte Abbott is a contributing editor for Publishers Weekly and joins us from New York. Thanks so much for being with us."
74884,2,"Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)","Thanks for having me, Scott."
74884,3,"SCOTT SIMON, host","So, what's business like this year?"
74884,4,"Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)",Book sales have definitely slipped.
74884,5,"SCOTT SIMON, host",What's your analysis of what's driven sales down then?
74884,6,"Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)","Well, the general retail falloff, I think, has had a big, big effect. Interestingly, children's fiction is stronger than the rest of the book publishing categories. I think people do not feel that books are a luxury for children, perhaps the way they might for adults. And I also hear that libraries are seeing a lot of activities. So I think it's not that people are not reading, it's that they're not buying books and are finding other ways to get their reading fix satisfied, except in the case of children where they are buying books."
74884,7,"SCOTT SIMON, host","Well, that raises this question. We've seen the introduction of electronic readers - eBooks, the Kindle from Amazon, and the Sony Reader. How are they selling? Does this represent a whole new movement in the book industry?"
74884,8,"Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)","It does in some ways. I think it's very notable, certainly. And as far as price point goes, eBooks are certainly the cheaper option, coming in about six or seven dollars per book. EBook sales are up as much as 300 percent for many of the major houses. But that's in a context where eBooks are still representing still under about one percent of total book sales."
74884,9,"SCOTT SIMON, host",May I press you a bit about some of these new technologies?
74884,10,"Ms. CHARLOTTE ABBOTT (Contributing Editor, Publishers Weekly)",Sure.
74884,11,"SCOTT SIMON, host","Because I can remember a time when people thought that, you know, nothing would replace the newspaper. And obviously, a lot of people have found some kind of replacement for newspapers - online and through other media. And then, you know, I've talked to recording industry executives who've said, we'd love to get out of the hardware business - you know, all the making CDs, making the tamperproof covers. Now, as I don't have to tell you, in books, to print them, to sell them is expensive and speculative. Can books really expect even for 10 years to not be subject to technological changes?"
63416,18,XENI JARDIN,"The software analysis all of those human factors and processes them with algorithms.  That information generally won't help right there, during that call, but Schaffer says it can be used to answer important questions companies may have."
63416,19,Ms. ROBIN SCHAFFER (NICE Systems),"What kinds of situations - what kind of topics are bringing up this kind of level of emotion.  And it could go down to the soft skills or particular agents that seem to have patterns of customers becoming more emotional.  Or it could come to broad business issues, that - where you can notice a pattern between heighten emotions and a particular product or service, or geographic area, or some other very important business component."
63416,20,XENI JARDIN,"Phil Tschudy is from CUNA Mutual a financial services group in Madison, Wisconsin that processes thousands of calls a day."
63416,21,XENI JARDIN,He says his company has been trying out the software for about a year as a feedback tool.
63416,22,Mr. PHIL TSCHUDY (CUNA Mutual),"This is an opportunity for us to go back and make sure that we're looking for trends that can be addressed, that we can help our call center representatives improve the services they deliver."
63416,23,Mr. PHIL TSCHUDY (CUNA Mutual),"And I think ultimately consumers want that, and demands are higher than they have every been.  And so this is great tool for us to really understand what are customers want and then deliver on that - on those expectations."
63416,24,XENI JARDIN,"This idea sounds great, but there is some problems. Big companies want to cut costs, so more phone support has been outsourced to call centers overseas.  But the issue is that English may not be a first language for most of the reps answering phones.  And if a communication gap grows wider another automated solution probably won't go far enough to comfort the outraged and unhappy customer.  For NPR News, I'm Xeni Jardin."
63416,25,_NO_SPEAKER,(Soundbite of music)
68175,0,"IRA FLATOW, host","This is Talk of The Nation: Science Friday.  I'm Ira Flatow.  We're here in Tucson, Arizona, and if you've ever visited this part of the country, you know it can get really hot.  And I'm not talking about the weather, I'm talking about the food from Jalapenos to Anaheim's, to Poblano's, folks in this part of that world have been spicing their food with chilies for centuries."
68175,1,"IRA FLATOW, host","But something I learned on this trip out West is that chilies don't just make food hot, there are lots of mild ones too that are used in cooking, and chilies have non-food uses too.  We'll talk about all the uses for chilies, you know, for example their signature chemical compound, capsaicin."
68175,2,"IRA FLATOW, host","That stuff that makes them hot is also used for a pain reliever.  I see your shaking your head, you knew that.  Yes.  And their color is used in cosmetics with lipsticks, did you know that too?  Well, well, what's about - that's why we're here for, to talk about chilies and everything that you ever wanted to know about chilies, so we're going to kick off the hour talking about chili peppers, what makes them hot and why do we like them."
68175,3,"IRA FLATOW, host","Why do we like something that's that hot for us, and burns or maybe doesn't burn our tongues?  And how are farmers and scientists working together to take the plants from seed to fruit and back to seed, then here we are.  In the audience in Tucson, Arizona, talking to folks, and if you'd like to join us please step up to the microphone when the - when it hits you."
68175,4,"IRA FLATOW, host","The appeal to ask a question?  Also, our number, 1-800-989-8255, 1-800-989-TALK, and in Second Life you can find us in Science Friday Island, and look for our seating area there and ask a question to Second Life.  Let me introduce my guest.  Jeff Silvertooth is a professor and the head of the Plant Scientist Department at the University of Arizona in Tucson.  Thanks for talking to us today."
68175,5,"Dr. JEFF SILVERTOOTH (Professor and Head, Plant Scientist Department, University of Arizona, Tucson)",Thank you.
68175,6,"IRA FLATOW, host","Good to have you here.  Ed Curry is a farmer and owner of the Curry Seed and Chile Company in Pearce, Arizona.  Thank you, Ed."
68175,7,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)",Thank you.
68175,8,"IRA FLATOW, host","And in fact, we have a little bit of a tour of Ed's Chili farm just outside of Tucson.  It's sciencefriday.com.  Flora Lichtman, our digital producer put it together, and if you'd like to see a little preview of the full-blown version, you can go over to our website at sciencefriday.com, to see a bit of Ed's farm."
68175,9,"IRA FLATOW, host","Gary Nabhan is a research social scientist at the University of Arizona, he's also the author of ""Why Some Like it Hot:  Food, Genes, and Cultural Diversity.""  And he joins us from WMEA in Portland, Maine.  Thanks for talking with us today, Dr. Nabhan."
68175,10,"Dr. GARY NABHAN (Researcher Social Scientist, University of Arizona; Author, ""Why Some Like it Hot:  Food, Genes, and Cultural Diversity"")",Happy to be here with you.
68175,11,"IRA FLATOW, host","Thank you.  Ed, when we say chili?  What are we talking about?  It was a - it encompasses a lot of stuff, doesn't it?"
68175,12,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)","It does.  Probably the simplest explanation for chili is obviously as a lot of countries have their own specific chilies, but here in The Southwest, long, green, once termed Anaheim, because they were so popular there around Anaheim, California. They responded to the cool weather and next to the ocean there..."
68175,13,"IRA FLATOW, host",Mm-hm.
68175,14,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)","But long green chili, Dr. Paul Smith from U.C. Davis gave it that name, suggested that name some years ago.  So long, green chili indicates a relatively mild, flavorful chili."
68175,15,"IRA FLATOW, host","Mm-hm.  There are lots of different varieties and brands of things like that, that you can get?"
68175,16,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)",Of the long green?
68175,17,"IRA FLATOW, host",Yeah.
68175,18,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)","Of the long green alone, there's several. We - my partner Phil V. and I have bred the several different strands of just the long green alone.  But, when you get outside of the long green, the - in the Capsaicum annum species..."
68175,19,"IRA FLATOW, host",Right.
68175,20,"Mr. ED CURRY (Farmer and Owner, Curry Seed and Chile Company, Pearce, Arizona)","It's huge, there's just all kinds."
68175,21,"IRA FLATOW, host","Mm-hm.  Jeff, South - the Eastern Arizona is part of what is called the Chili Belt, and I don't think I've ever heard that phrase until I got here.  What does that mean?  Why is this a great spot to grow chilies?"
67560,19,"MARY LOUISE KELLY, HOST","UNIDENTIFIED WOMAN #1: We could hear all of the teachers screaming. I think someone got shot in the chest, and they kept yelling, put some pressure on it."
67560,20,"MARY LOUISE KELLY, HOST",Two students died. Sixteen others were wounded.
67560,21,"ARI SHAPIRO, HOST","The list keeps going. On January 22 at a high school in Texas, a girl was shot by another student."
67560,22,_NO_SPEAKER,(SOUNDBITE OF ARCHIVED RECORDING)
67560,23,"ARI SHAPIRO, HOST","UNIDENTIFIED WOMAN #2: A firefighter who came to the victim's aid here told me tonight she just kept repeating, don't let me die."
67560,24,"ARI SHAPIRO, HOST",She's recovering.
67560,25,"MARY LOUISE KELLY, HOST","That same afternoon, another shooting in the parking lot of a New Orleans charter school. One student was injured."
67560,26,"ARI SHAPIRO, HOST","On January 20, a student was shot on the campus of Wake Forest University in North Carolina. He died."
67560,27,"MARY LOUISE KELLY, HOST","January 15 in Texas, a bullet was fired into a college dorm room. Three students were inside. No one was hurt."
67560,28,"ARI SHAPIRO, HOST",And January 10 - three shootings in three states - first a suicide at Coronado Elementary School in Arizona.
67560,29,_NO_SPEAKER,(SOUNDBITE OF ARCHIVED RECORDING)
67560,30,"ARI SHAPIRO, HOST","UNIDENTIFIED MAN #3: The school called to report an active shooter around 9 in the morning. When deputies arrived, they found a 14-year-old boy shot dead inside a bathroom."
67560,31,"MARY LOUISE KELLY, HOST",And at Grayson college in Texas a student fired a gun by accident. No one was hit.
67560,32,"ARI SHAPIRO, HOST",Then that evening...
67560,33,_NO_SPEAKER,(SOUNDBITE OF ARCHIVED RECORDING)
